image_id,path,class,original_class,class_name,split_ss1,split_ss2,split_ss3,split_ps1,split_ps2,split_ps3
1,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
2,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,seen_test_val,seen_test_train
3,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_test_train,val,seen_test_train
4,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
5,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,seen_test_val,seen_val
6,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
7,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_test_train,seen_test_val,seen_val
8,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_val,val,seen_test_train
9,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
10,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
