class,original_class,class_name,split_ss1,split_ss2,split_ss3,split_ps1,split_ps2,split_ps3
0,1,001.Black_footed_Albatross,test,test,test,train,val,train
1,2,002.Laysan_Albatross,val,train,val,train,val,train
2,3,003.Sooty_Albatross,train,train,train,train,train,train
3,4,004.Groove_billed_Ani,test,test,test,test,test,test
4,5,005.Crested_Auklet,train,val,train,val,train,val
5,6,006.Least_Auklet,test,test,test,train,train,val
6,7,007.Parakeet_Auklet,train,train,train,val,val,val
7,8,008.Rhinoceros_Auklet,test,test,test,train,train,val
8,9,009.Brewer_Blackbird,test,test,test,val,val,val
9,10,010.Red_winged_Blackbird,train,train,val,train,train,train
10,11,011.Rusty_Blackbird,train,train,val,train,val,train
11,12,012.Yellow_headed_Blackbird,val,train,train,test,test,test
12,13,013.Bobolink,val,train,train,train,train,val
13,14,014.Indigo_Bunting,test,test,test,train,val,train
14,15,015.Lazuli_Bunting,train,val,train,train,val,val
15,16,016.Painted_Bunting,train,val,train,train,train,train
16,17,017.Cardinal,val,train,val,train,val,train
17,18,018.Spotted_Catbird,train,train,val,val,val,val
18,19,019.Gray_Catbird,val,train,train,train,val,train
19,20,020.Yellow_breasted_Chat,train,val,train,train,train,val
20,21,021.Eastern_Towhee,val,train,val,train,train,train
21,22,022.Chuck_will_Widow,val,val,train,train,train,train
22,23,023.Brandt_Cormorant,test,test,test,test,test,test
23,24,024.Red_faced_Cormorant,train,val,train,train,train,train
24,25,025.Pelagic_Cormorant,train,train,train,train,train,train
25,26,026.Bronzed_Cowbird,val,train,train,test,test,test
26,27,027.Shiny_Cowbird,val,val,train,train,train,train
27,28,028.Brown_Creeper,train,train,train,test,test,test
28,29,029.American_Crow,test,test,test,val,train,train
29,30,030.Fish_Crow,val,train,val,train,train,val
30,31,031.Black_billed_Cuckoo,test,test,test,test,test,test
31,32,032.Mangrove_Cuckoo,train,val,train,train,train,val
32,33,033.Yellow_billed_Cuckoo,test,test,test,test,test,test
33,34,034.Gray_crowned_Rosy_Finch,test,test,test,val,val,train
34,35,035.Purple_Finch,test,test,test,train,val,train
35,36,036.Northern_Flicker,test,test,test,val,train,train
36,37,037.Acadian_Flycatcher,test,test,test,train,train,val
37,38,038.Great_Crested_Flycatcher,test,test,test,train,val,val
38,39,039.Least_Flycatcher,train,train,val,train,val,val
39,40,040.Olive_sided_Flycatcher,train,train,train,train,train,train
40,41,041.Scissor_tailed_Flycatcher,val,train,train,train,train,val
41,42,042.Vermilion_Flycatcher,train,train,train,train,train,train
42,43,043.Yellow_bellied_Flycatcher,test,test,test,test,test,test
43,44,044.Frigatebird,train,train,val,train,val,train
44,45,045.Northern_Fulmar,val,val,val,test,test,test
45,46,046.Gadwall,val,val,val,train,train,train
46,47,047.American_Goldfinch,train,train,train,train,train,train
47,48,048.European_Goldfinch,train,train,train,val,train,train
48,49,049.Boat_tailed_Grackle,test,test,test,test,test,test
49,50,050.Eared_Grebe,train,train,val,train,train,val
50,51,051.Horned_Grebe,test,test,test,val,train,train
51,52,052.Pied_billed_Grebe,train,train,train,test,test,test
52,53,053.Western_Grebe,test,test,test,train,train,train
53,54,054.Blue_Grosbeak,train,val,train,train,train,train
54,55,055.Evening_Grosbeak,val,val,train,test,test,test
55,56,056.Pine_Grosbeak,train,val,train,val,val,val
56,57,057.Rose_breasted_Grosbeak,train,val,train,train,train,train
57,58,058.Pigeon_Guillemot,train,val,train,train,val,train
58,59,059.California_Gull,train,train,val,val,train,train
59,60,060.Glaucous_winged_Gull,train,train,train,train,val,val
60,61,061.Heermann_Gull,val,train,train,val,val,train
61,62,062.Herring_Gull,train,train,train,train,train,train
62,63,063.Ivory_Gull,val,train,train,val,val,train
63,64,064.Ring_billed_Gull,val,train,train,val,train,val
